epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,2311.49,0.67065,0.56239,0.9214,0.72977,0.82272,0.82822,0.69239,0.76845,0.7963,0.93658,0.0005182,0.0005182,0.0005182
148,2326.55,0.66721,0.5531,0.92389,0.77711,0.81059,0.8266,0.7025,0.69422,0.79205,0.92118,0.0005149,0.0005149,0.0005149
149,2341.73,0.6623,0.54454,0.92158,0.76999,0.81857,0.82968,0.70498,0.68216,0.76866,0.9187,0.0005116,0.0005116,0.0005116
150,2357.03,0.6754,0.56931,0.91829,0.75423,0.85043,0.83421,0.70104,0.72493,0.76712,0.92026,0.0005083,0.0005083,0.0005083
151,2372.5,0.67313,0.57587,0.92871,0.75214,0.84001,0.82266,0.68681,0.75911,0.79678,0.94728,0.000505,0.000505,0.000505
152,2387.66,0.6593,0.56133,0.92544,0.76203,0.82895,0.82236,0.69463,0.72828,0.78371,0.93035,0.0005017,0.0005017,0.0005017
153,2402.84,0.65909,0.5703,0.90726,0.75064,0.8584,0.82773,0.69376,0.7508,0.79233,0.93566,0.0004984,0.0004984,0.0004984
154,2420.49,0.65591,0.55479,0.91409,0.79009,0.7865,0.82988,0.70633,0.69701,0.75784,0.91926,0.0004951,0.0004951,0.0004951
155,2436.2,0.66229,0.57108,0.92163,0.7379,0.83301,0.83254,0.69853,0.72772,0.72897,0.9254,0.0004918,0.0004918,0.0004918
156,2451.57,0.66642,0.56234,0.92434,0.79298,0.80403,0.83788,0.70589,0.71914,0.74101,0.93056,0.0004885,0.0004885,0.0004885
157,2466.84,0.66842,0.56985,0.91535,0.79518,0.80474,0.83464,0.703,0.71979,0.74794,0.91705,0.0004852,0.0004852,0.0004852
158,2482.87,0.65526,0.55867,0.91211,0.78008,0.81813,0.8372,0.71453,0.72316,0.75666,0.93559,0.0004819,0.0004819,0.0004819
159,2497.78,0.65529,0.54974,0.91831,0.79432,0.78346,0.83406,0.69805,0.7578,0.76329,0.94588,0.0004786,0.0004786,0.0004786
160,2513.19,0.65347,0.54874,0.91429,0.74855,0.80742,0.82155,0.69919,0.68802,0.76569,0.90737,0.0004753,0.0004753,0.0004753
161,2528.46,0.64656,0.54649,0.90603,0.75174,0.83505,0.82545,0.69848,0.70957,0.75447,0.91787,0.000472,0.000472,0.000472
162,2543.56,0.66022,0.56311,0.91942,0.75173,0.8454,0.82689,0.68279,0.78433,0.76487,0.94625,0.0004687,0.0004687,0.0004687
163,2558.77,0.6546,0.54352,0.91644,0.75731,0.84403,0.81839,0.68616,0.74387,0.781,0.93231,0.0004654,0.0004654,0.0004654
164,2573.84,0.65171,0.54393,0.91698,0.80231,0.79821,0.82498,0.70099,0.73837,0.77118,0.93491,0.0004621,0.0004621,0.0004621
165,2588.97,0.64242,0.54096,0.91495,0.78226,0.80089,0.81528,0.69347,0.69582,0.76156,0.91206,0.0004588,0.0004588,0.0004588
166,2604.54,0.6322,0.5311,0.90091,0.7635,0.80497,0.82505,0.70571,0.69974,0.77364,0.91565,0.0004555,0.0004555,0.0004555
167,2619.93,0.64047,0.54581,0.92055,0.72843,0.79847,0.82669,0.70397,0.70606,0.81566,0.91316,0.0004522,0.0004522,0.0004522
168,2637.12,0.64244,0.52954,0.91062,0.74405,0.84201,0.83067,0.70616,0.71479,0.77273,0.92543,0.0004489,0.0004489,0.0004489
169,2652.62,0.63449,0.52976,0.90324,0.79281,0.8104,0.82593,0.70525,0.68991,0.74894,0.9142,0.0004456,0.0004456,0.0004456
170,2667.96,0.66169,0.53443,0.91881,0.74337,0.85305,0.83246,0.71252,0.69905,0.7537,0.91942,0.0004423,0.0004423,0.0004423
171,2684.33,0.6586,0.53724,0.91545,0.81229,0.82776,0.85005,0.72646,0.7054,0.69784,0.91917,0.000439,0.000439,0.000439
172,2701.59,0.62154,0.52324,0.90477,0.76838,0.83386,0.83895,0.71541,0.71225,0.74692,0.92292,0.0004357,0.0004357,0.0004357
